country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,composite_key
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,PM2.5,,144.0,122.0,"SFTI Kusdihra, Gaya - BSPCB|PM2.5|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,PM10,108.0,149.0,128.0,"SFTI Kusdihra, Gaya - BSPCB|PM10|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,NO2,39.0,56.0,47.0,"SFTI Kusdihra, Gaya - BSPCB|NO2|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,CO,1.0,2.0,1.0,"SFTI Kusdihra, Gaya - BSPCB|CO|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,SO2,36.0,76.0,56.0,"SFTI Kusdihra, Gaya - BSPCB|SO2|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,O3,36.0,57.0,46.0,"SFTI Kusdihra, Gaya - BSPCB|O3|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,NH3,27.0,63.0,45.0,"SFTI Kusdihra, Gaya - BSPCB|NH3|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,PM2.5,135.0,212.0,173.0,"Mandir Marg, Delhi - DPCC|PM2.5|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,PM10,118.0,148.0,133.0,"Mandir Marg, Delhi - DPCC|PM10|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,NO2,31.0,41.0,36.0,"Mandir Marg, Delhi - DPCC|NO2|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,CO,2.0,5.0,3.0,"Mandir Marg, Delhi - DPCC|CO|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,SO2,19.0,47.0,33.0,"Mandir Marg, Delhi - DPCC|SO2|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,O3,26.0,51.0,38.0,"Mandir Marg, Delhi - DPCC|O3|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,NH3,5.0,16.0,10.0,"Mandir Marg, Delhi - DPCC|NH3|2026-07-03 13:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 13:00:00,19.036814,72.860041,PM2.5,86.0,163.0,124.0,"Sion, Mumbai - MPCB|PM2.5|2026-07-03 13:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 13:00:00,19.036814,72.860041,PM10,61.0,82.0,71.0,"Sion, Mumbai - MPCB|PM10|2026-07-03 13:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 13:00:00,19.036814,72.860041,NO2,12.0,29.0,20.0,"Sion, Mumbai - MPCB|NO2|2026-07-03 13:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 13:00:00,19.036814,72.860041,CO,3.0,4.0,3.0,"Sion, Mumbai - MPCB|CO|2026-07-03 13:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 13:00:00,19.036814,72.860041,SO2,32.0,72.0,52.0,"Sion, Mumbai - MPCB|SO2|2026-07-03 13:00:00"
