country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,composite_key
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,PM2.5,129.0,217.0,173.0,"SFTI Kusdihra, Gaya - BSPCB|PM2.5|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,PM10,,169.0,151.0,"SFTI Kusdihra, Gaya - BSPCB|PM10|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,CO,1.0,4.0,2.0,"SFTI Kusdihra, Gaya - BSPCB|CO|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,SO2,46.0,64.0,55.0,"SFTI Kusdihra, Gaya - BSPCB|SO2|2026-07-03 13:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 13:00:00,24.762518,84.982348,NH3,,47.0,29.0,"SFTI Kusdihra, Gaya - BSPCB|NH3|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,PM2.5,175.0,225.0,200.0,"Mandir Marg, Delhi - DPCC|PM2.5|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,PM10,95.0,143.0,119.0,"Mandir Marg, Delhi - DPCC|PM10|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,NO2,12.0,44.0,28.0,"Mandir Marg, Delhi - DPCC|NO2|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,CO,1.0,3.0,2.0,"Mandir Marg, Delhi - DPCC|CO|2026-07-03 13:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 13:00:00,28.636429,77.201067,SO2,10.0,26.0,18.0,"Mandir Marg, Delhi - DPCC|SO2|2026-07-03 13:00:00"
