country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,composite_key
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 14:00:00,24.762518,84.982348,PM2.5,93.0,188.0,140.0,"SFTI Kusdihra, Gaya - BSPCB|PM2.5|2026-07-03 14:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 14:00:00,24.762518,84.982348,PM10,41.0,121.0,81.0,"SFTI Kusdihra, Gaya - BSPCB|PM10|2026-07-03 14:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 14:00:00,24.762518,84.982348,NO2,18.0,55.0,36.0,"SFTI Kusdihra, Gaya - BSPCB|NO2|2026-07-03 14:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 14:00:00,24.762518,84.982348,SO2,,39.0,31.0,"SFTI Kusdihra, Gaya - BSPCB|SO2|2026-07-03 14:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 14:00:00,24.762518,84.982348,O3,50.0,66.0,58.0,"SFTI Kusdihra, Gaya - BSPCB|O3|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,PM2.5,99.0,174.0,136.0,"Mandir Marg, Delhi - DPCC|PM2.5|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,PM10,163.0,257.0,210.0,"Mandir Marg, Delhi - DPCC|PM10|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,NO2,48.0,85.0,66.0,"Mandir Marg, Delhi - DPCC|NO2|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,CO,3.0,4.0,3.0,"Mandir Marg, Delhi - DPCC|CO|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,SO2,11.0,37.0,24.0,"Mandir Marg, Delhi - DPCC|SO2|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,O3,41.0,71.0,56.0,"Mandir Marg, Delhi - DPCC|O3|2026-07-03 14:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 14:00:00,28.636429,77.201067,NH3,9.0,24.0,16.0,"Mandir Marg, Delhi - DPCC|NH3|2026-07-03 14:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 14:00:00,19.036814,72.860041,PM2.5,52.0,111.0,81.0,"Sion, Mumbai - MPCB|PM2.5|2026-07-03 14:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 14:00:00,19.036814,72.860041,PM10,52.0,77.0,64.0,"Sion, Mumbai - MPCB|PM10|2026-07-03 14:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 14:00:00,19.036814,72.860041,CO,4.0,5.0,4.0,"Sion, Mumbai - MPCB|CO|2026-07-03 14:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 14:00:00,19.036814,72.860041,SO2,46.0,75.0,60.0,"Sion, Mumbai - MPCB|SO2|2026-07-03 14:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 14:00:00,19.036814,72.860041,O3,11.0,50.0,30.0,"Sion, Mumbai - MPCB|O3|2026-07-03 14:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 14:00:00,19.036814,72.860041,NH3,26.0,62.0,44.0,"Sion, Mumbai - MPCB|NH3|2026-07-03 14:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 14:00:00,12.977872,77.570688,PM2.5,67.0,158.0,112.0,"City Railway Station, Bengaluru - KSPCB|PM2.5|2026-07-03 14:00:00"
