country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,composite_key
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-07-03 19:00:00,26.11442,85.39813,PM10,53.0,88.0,70.0,"Buddha Colony, Muzaffarpur - BSPCB|PM10|2026-07-03 19:00:00"
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-07-03 19:00:00,26.11442,85.39813,OZONE,8.0,81.0,45.0,"Buddha Colony, Muzaffarpur - BSPCB|OZONE|2026-07-03 19:00:00"
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-07-03 19:00:00,25.586562,85.043586,PM10,42.0,62.0,49.0,"DRM Office Danapur, Patna - BSPCB|PM10|2026-07-03 19:00:00"
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-07-03 19:00:00,25.586562,85.043586,NO2,29.0,35.0,32.0,"DRM Office Danapur, Patna - BSPCB|NO2|2026-07-03 19:00:00"
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-07-03 19:00:00,25.586562,85.043586,NH3,9.0,10.0,9.0,"DRM Office Danapur, Patna - BSPCB|NH3|2026-07-03 19:00:00"
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-07-03 19:00:00,25.599486,85.113666,NH3,2.0,3.0,3.0,"Rajbansi Nagar, Patna - BSPCB|NH3|2026-07-03 19:00:00"
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-07-03 19:00:00,25.599486,85.113666,CO,36.0,40.0,38.0,"Rajbansi Nagar, Patna - BSPCB|CO|2026-07-03 19:00:00"
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-07-03 19:00:00,25.592539,85.227158,NO2,11.0,12.0,12.0,"Govt. High School Shikarpur, Patna - BSPCB|NO2|2026-07-03 19:00:00"
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-07-03 19:00:00,25.596727,85.085624,PM2.5,58.0,158.0,89.0,"Samanpura, Patna - BSPCB|PM2.5|2026-07-03 19:00:00"
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-07-03 19:00:00,25.596727,85.085624,SO2,3.0,5.0,4.0,"Samanpura, Patna - BSPCB|SO2|2026-07-03 19:00:00"
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2026-07-03 19:00:00,25.610369,85.132568,NO2,1.0,3.0,2.0,"IGSC Planetarium Complex, Patna - BSPCB|NO2|2026-07-03 19:00:00"
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2026-07-03 19:00:00,25.610369,85.132568,NH3,,,,"IGSC Planetarium Complex, Patna - BSPCB|NH3|2026-07-03 19:00:00"
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2026-07-03 19:00:00,25.610369,85.132568,SO2,1.0,28.0,13.0,"IGSC Planetarium Complex, Patna - BSPCB|SO2|2026-07-03 19:00:00"
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2026-07-03 19:00:00,25.610369,85.132568,OZONE,59.0,60.0,60.0,"IGSC Planetarium Complex, Patna - BSPCB|OZONE|2026-07-03 19:00:00"
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2026-07-03 19:00:00,25.366336,87.117468,SO2,16.0,17.0,16.0,"Mariam Nagar, Purnia - BSPCB|SO2|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,PM2.5,24.0,47.0,37.0,"SFTI Kusdihra, Gaya - BSPCB|PM2.5|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,PM10,31.0,50.0,42.0,"SFTI Kusdihra, Gaya - BSPCB|PM10|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,CO,13.0,23.0,18.0,"SFTI Kusdihra, Gaya - BSPCB|CO|2026-07-03 19:00:00"
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2026-07-03 19:00:00,24.792403,84.992416,PM2.5,7.0,133.0,37.0,"Kareemganj, Gaya - BSPCB|PM2.5|2026-07-03 19:00:00"
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-07-03 19:00:00,25.697189,85.2459,NO2,6.0,15.0,10.0,"Industrial Area, Hajipur - BSPCB|NO2|2026-07-03 19:00:00"
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-07-03 19:00:00,25.697189,85.2459,NH3,10.0,19.0,14.0,"Industrial Area, Hajipur - BSPCB|NH3|2026-07-03 19:00:00"
