country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,composite_key
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,PM2.5,80.0,168.0,124.0,"SFTI Kusdihra, Gaya - BSPCB|PM2.5|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,PM10,60.0,123.0,91.0,"SFTI Kusdihra, Gaya - BSPCB|PM10|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,NO2,48.0,82.0,65.0,"SFTI Kusdihra, Gaya - BSPCB|NO2|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,CO,3.0,6.0,4.0,"SFTI Kusdihra, Gaya - BSPCB|CO|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,SO2,23.0,63.0,43.0,"SFTI Kusdihra, Gaya - BSPCB|SO2|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,O3,18.0,41.0,29.0,"SFTI Kusdihra, Gaya - BSPCB|O3|2026-07-03 19:00:00"
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-03 19:00:00,24.762518,84.982348,NH3,11.0,49.0,30.0,"SFTI Kusdihra, Gaya - BSPCB|NH3|2026-07-03 19:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 19:00:00,28.636429,77.201067,PM2.5,176.0,271.0,223.0,"Mandir Marg, Delhi - DPCC|PM2.5|2026-07-03 19:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 19:00:00,28.636429,77.201067,NO2,10.0,41.0,25.0,"Mandir Marg, Delhi - DPCC|NO2|2026-07-03 19:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 19:00:00,28.636429,77.201067,CO,1.0,3.0,2.0,"Mandir Marg, Delhi - DPCC|CO|2026-07-03 19:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 19:00:00,28.636429,77.201067,SO2,43.0,65.0,54.0,"Mandir Marg, Delhi - DPCC|SO2|2026-07-03 19:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 19:00:00,28.636429,77.201067,O3,22.0,47.0,34.0,"Mandir Marg, Delhi - DPCC|O3|2026-07-03 19:00:00"
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-03 19:00:00,28.636429,77.201067,NH3,34.0,66.0,50.0,"Mandir Marg, Delhi - DPCC|NH3|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,PM2.5,127.0,149.0,138.0,"Sion, Mumbai - MPCB|PM2.5|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,PM10,59.0,110.0,84.0,"Sion, Mumbai - MPCB|PM10|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,NO2,5.0,35.0,20.0,"Sion, Mumbai - MPCB|NO2|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,CO,3.0,5.0,4.0,"Sion, Mumbai - MPCB|CO|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,SO2,25.0,55.0,40.0,"Sion, Mumbai - MPCB|SO2|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,O3,43.0,79.0,61.0,"Sion, Mumbai - MPCB|O3|2026-07-03 19:00:00"
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2026-07-03 19:00:00,19.036814,72.860041,NH3,50.0,85.0,67.0,"Sion, Mumbai - MPCB|NH3|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,PM2.5,152.0,213.0,182.0,"City Railway Station, Bengaluru - KSPCB|PM2.5|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,PM10,162.0,260.0,211.0,"City Railway Station, Bengaluru - KSPCB|PM10|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,NO2,44.0,78.0,61.0,"City Railway Station, Bengaluru - KSPCB|NO2|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,CO,2.0,4.0,3.0,"City Railway Station, Bengaluru - KSPCB|CO|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,SO2,46.0,63.0,54.0,"City Railway Station, Bengaluru - KSPCB|SO2|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,O3,7.0,35.0,21.0,"City Railway Station, Bengaluru - KSPCB|O3|2026-07-03 19:00:00"
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2026-07-03 19:00:00,12.977872,77.570688,NH3,46.0,67.0,56.0,"City Railway Station, Bengaluru - KSPCB|NH3|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,PM2.5,95.0,169.0,132.0,"Alandur, Chennai - TNPCB|PM2.5|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,PM10,149.0,236.0,192.0,"Alandur, Chennai - TNPCB|PM10|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,NO2,41.0,69.0,55.0,"Alandur, Chennai - TNPCB|NO2|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,CO,2.0,4.0,3.0,"Alandur, Chennai - TNPCB|CO|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,SO2,40.0,71.0,55.0,"Alandur, Chennai - TNPCB|SO2|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,O3,13.0,38.0,25.0,"Alandur, Chennai - TNPCB|O3|2026-07-03 19:00:00"
India,Tamil Nadu,Chennai,"Alandur, Chennai - TNPCB",2026-07-03 19:00:00,12.999674,80.201193,NH3,35.0,54.0,44.0,"Alandur, Chennai - TNPCB|NH3|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,PM2.5,81.0,118.0,99.0,"Victoria, Kolkata - WBPCB|PM2.5|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,PM10,30.0,118.0,74.0,"Victoria, Kolkata - WBPCB|PM10|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,NO2,38.0,58.0,48.0,"Victoria, Kolkata - WBPCB|NO2|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,CO,3.0,6.0,4.0,"Victoria, Kolkata - WBPCB|CO|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,SO2,35.0,67.0,51.0,"Victoria, Kolkata - WBPCB|SO2|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,O3,50.0,81.0,65.0,"Victoria, Kolkata - WBPCB|O3|2026-07-03 19:00:00"
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2026-07-03 19:00:00,22.544808,88.342558,NH3,5.0,23.0,14.0,"Victoria, Kolkata - WBPCB|NH3|2026-07-03 19:00:00"
